Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      911    0.004    0.000    0.029    0.000 /home/lucla/Programming/PyGJK/pygjk/algo.py:152(support)
    10092    0.004    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:258(getId)
      156    0.004    0.000    0.014    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:1485(cross)
     8022    0.004    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/Point.py:39(__getitem__)
     4006    0.004    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/Point.py:100(length)
     1218    0.004    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/copy.py:66(copy)
       39    0.004    0.000    0.008    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:290(_extendFromData)
     4411    0.004    0.000    0.011    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:830(_maybeRebuildAtlas)
     2436    0.004    0.000    0.015    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/re.py:187(match)
    13230    0.004    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2797(_amin_dispatcher)
     2518    0.004    0.000    0.004    0.000 {built-in method numpy.zeros}
     2436    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     1374    0.004    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:590(_find_data_type)
     1224    0.004    0.000    0.017    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:149(ones)
      730    0.004    0.000    0.012    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:331(mkBrush)
     1572    0.004    0.000    0.004    0.000 {built-in method builtins.locals}
     1383    0.004    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:181(_add_filter)
     5345    0.004    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:22(_is_dunder)
     2436    0.003    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/re.py:288(_compile)
     2210    0.003    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:71(getViewWidget)
     1822    0.003    0.000    0.009    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1127(argmax)
     2003    0.003    0.000    0.003    0.000 {built-in method viewportTransform}
    17544    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
    11977    0.003    0.000    0.003    0.000 {built-in method bottom}
     1383    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:458(__enter__)
     1572    0.003    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:1403(dtype_is_implied)
     2436    0.003    0.000    0.021    0.000 <__array_function__ internals>:177(fill_diagonal)
     5341    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:33(_is_sunder)
     6190    0.003    0.000    0.004    0.000 {built-in method hide}
       39    0.003    0.000    0.091    0.002 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:275(_extend)
     1538    0.003    0.000    0.003    0.000 {built-in method numpy.frombuffer}
    11977    0.003    0.000    0.003    0.000 {built-in method top}
     2003    0.003    0.000    0.003    0.000 {built-in method deviceTransform}
     1822    0.003    0.000    0.003    0.000 {method 'argmax' of 'numpy.ndarray' objects}
     1572    0.003    0.000    0.059    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:780(_formatArray)
     1893    0.003    0.000    0.169    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:359(__call__)
    10035    0.003    0.000    0.003    0.000 {built-in method x}
     3477    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/types.py:176(__get__)
     1224    0.003    0.000    0.011    0.000 <__array_function__ internals>:177(copyto)
      436    0.003    0.000    0.013    0.000 /home/lucla/Programming/PyGJK/pygjk/algo.py:139(normalize)
      706    0.003    0.000    0.036    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:76(drawSymbol)
     2563    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     4425    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:12(_is_descriptor)
     1435    0.003    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:678(__new__)
      936    0.003    0.000    0.004    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
      707    0.003    0.000    0.003    0.000 {function ChildGroup.itemChange at 0x7f5c2f2d4ee0}
    16221    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
